No,Address,Balance
68,"XqDr1UT4QubJFTZ9ZfdtiHWRy1GcHxAyxNwErzD5VXjZgis9Y", "300000000000000000"
69,"XqF5YK72fhTiQytkGNgBJW4v6T3VMdgviqXo6gnkaJHXsxZKH", "297510000000000000"
70,"XqFZLFz4aKzjy8AwDF2WuNLh5VPuymGu7RT3yPDYpyWcw5ZxK", "288500000000000000"
71,"XqBdpVpZfiwLAPtbhfHAf6Z2Tevdy6Nn4yU19YKV7Dh6DhGQx", "275000000000000000"
72,"XqAuvnvX5gBypdbmPp26pKcVbq3tmx5KD9b6c9LDPv48cW5Gh", "270100000000000000"
73,"XqBVx7mAKPocqNMfSz6cc4RBExFaBsFGk83dCLbcuwF9SfewH", "260490000000000000"
74,"XqDzUcfgRBSf2kpL4srzRbG3cg4drCd2DwXdBsWZCiY8C7dWB", "258160000000000000"
75,"XqBN384k8EuNpPmJ4WpZrt9nicW9PcBffGwJDYZbTNzwUVYdk", "253630000000000000"
76,"XqEr87TQpNZwV2PirxYUbMpHy9GhFfDaZCXLsqhTLWBEd4WMC", "246070000000000000"
77,"XqCdNGDjoWCTYi7m62zKEFPTgU85XsNoiYA683E2Vj9MjQHQG", "228539000000000000"
78,"XqAdmYWpXZPU5wiqEeXdTS97tWXvsmy3V9XQyAnBt2nNi6ccg", "227290000000000000"
79,"XqEXSJtXHvwKB6Z1PVLvtMupKP8WqDvYMRo77CBWB6e7hsSMQ", "220410000000000000"
80,"XqBgMB7iW32RGPvCHoXrxQwZhiT9rHRh3jv8ib1L8FusCThcH", "219070000000000000"
81,"XqBGHJV4xbYyJVuqnEjkCam964JtB6PPy3cni5VxDC9qeHt28", "216260000000000000"
82,"XqDojUWvT2pkV8saMzKjoAZMyP2VZRVoKtj5C7KgpZzWHLvBC", "210000000000000000"
83,"XqF78WAVTpNc82LKvE4xj7wuhJsFZnGwJYxLsNihxxMjVab4V", "206670000000000000"
84,"XqAH95FFPFiDte434hra3pYvKW2hfutPE9xzAmaTHiihKeD4k", "206190000000000000"
85,"XqAGpzH7yULCnZybhYYK3JPBhicJxPUTAozwgZUgFW9VzoNnj", "203570000000000000"
86,"XqATQNzNTPtkFioioWrJmYJnpWs2Aeoa5y8ZffQk9WnSm4kC6", "200000000000000000"
87,"XqANdVUiuXDgbqDBMGghiqHLZUqysfqLyVDkApVjHrduXSp7X", "200000000000000000"
88,"XqDfVPyXB8BJkzVBi5SQPoxF2zcXT5WQ5W6rzBMXxXhro7fs5", "197990000000000000"
89,"XqDGRwaRHyRRQjQRGYEVfPJFFUnA7bbpAzhAn6WwaZZLth24u", "181690000000000000"
90,"XqAHc9y3LtwewZULz5Hq3UBtkmnmfgU6Mokh7Kthj3PDqn8c8", "180280000000000000"
