47,"XqDg3AwuwpTc9MQoxASQChQiXMPM648kJkMsa785W6pYjuXYa", "508010000000000000"
48,"XqFcAJXmEmKAKUeY7hmwXS6zErE47P11NAvQPcqDn9gkw8FWy", "504670000000000000"
49,"XqApfsGR7maLNucvfcPL3VvfP1X1GSk8CqPUCrSo4set8rHy1", "500000000000000000"
50,"XqABRLHyDYbXAtNkFARXUyzsd8oAWyh6VjVmwu2rFRzMp4ZqR", "481660000000000000"
51,"XqBXpS2zj2KKJoe3hEBgm7NwLeoRtCexhmtM4BpbQrX6v7USh", "462000000000000000"
52,"XqFejYiieWHQSy9whaVBS1HCDqVfWszt23gPMZQZyYZpqJvhF", "441349000000000000"
53,"XqCdBVnTD5T3yadN1vrYQ7DcT9d6Z6Yp6J9xTm7tvkFoUNMsF", "438090000000000000"
54,"XqDmNSGhL5d4r1ZLzQ6Szoeq2uB47pSxGTuVzR3pFuJnCPcVw", "428570000000000000"
55,"XqDGW3NW6CgvG7kGwwJf8X3KPNCvgb8khnmRpVcqkBSnEjZmF", "427091000000000000"
56,"XqAMyruKtrh85BbAKo3RAAFFM4WTnCP4N3MxgAGeFSWVvFfpn", "414280000000000000"
57,"XqD5G59Be1ckxeWgUddmVdjHN4q9FxWSpeowgmQ9Sdz412Zkt", "405250000000000000"
58,"XqDDZsNAmkmoCjB8KTAt9JEPWnM9fuBfCutcUfTzwvpPBekCW", "363180000000000000"
59,"XqAYZKCxGtVrCYS3oAakLkkLmdVgjSMMdZwrrAQpEEDMm9voS", "355670000000000000"
60,"XqEwGH9H9UWAN6ccSyY3JtpA6pbcCc4f8emy2yrTpmNEsNptm", "330140000000000000"
61,"XqFFFke7ogDvqG75Nj986MCfgNAU6S8e8yLa3QEsVAAJBw6oD", "330000000000000000"
62,"XqCgHcmYa3iBh6ggnLpn8gChFxHMuAccrRR5qjk5MPjyAEeVP", "327840000000000000"
63,"XqEyaiQdJchV6frPLWQNx3q9YCEs6zeuFJkBVQLteBmhirrLD", "322857000000000000"
64,"XqCwbpa5jTs58GuAecHvcFgXmY9qk2Cda5p9UQHTHxKvsURux", "316500000000000000"
65,"XqFUiF35pp9vonkJgpbiFZWoKGDnRzbnyYwCZG1mvy3SbY4iP", "314900000000000000"
66,"XqEZrvksxuHsUywkvrpbMwpPFuySVCaZTJULuuQFrHRTgf6eL", "313950000000000000"
67,"XqFXjJTtvh1eGe2rA1YUNii6agGkByzP73JfuQRkdxD3ysPps", "306180000000000000"
68,"XqDr1UT4QubJFTZ9ZfdtiHWRy1GcHxAyxNwErzD5VXjZgis9Y", "300000000000000000"
69,"XqF5YK72fhTiQytkGNgBJW4v6T3VMdgviqXo6gnkaJHXsxZKH", "297510000000000000"
